entry_id,type,name,url,norwegian_level,norwegian_level_basis
9f18c8ea405d86c3,publisher,American Scientific Publishers,http://www.aspbs.com/,1,exact_name_match_publisher
2bfa8d3ef217115c,publisher,Avestia Publishing,http://avestia.com/,0,exact_name_match_publisher
7dbf898497a5a090,publisher,Infonomics Society,http://infonomics-society.org/,1,exact_name_match_publisher
62ebb287b3de179c,publisher,International Institute of Informatics and Systemics,http://www.iiis.org/,0,exact_name_match_publisher
5b5cc3d0061f4113,publisher,The Science and Information Organization,http://thesai.org/,1,exact_name_match_publisher
8a20afc2ca7c5da1,publisher,WIT Press,http://www.witpress.com/,1,exact_name_match_publisher
9308292d61777a09,journal,Academic Exchange Quarterly,http://www.rapidintellect.com/AEQweb/,0,exact_name_match_journal
7ff03d324a9ed5cb,journal,"African Journal of Traditional, Complementary and Alternative Medicines",http://journals.sfu.ca/africanem/index.php/ajtcam/index,0,exact_name_match_journal
8c93815b2c12c23a,journal,Aging,http://www.impactaging.com/index.html,0,exact_name_match_journal
55d213d6aa13be60,journal,ARPN Journal of Systems and Software,http://www.scientific-journals.org/,0,exact_name_match_journal
12ae04c7020e39f4,journal,Asian Journal of Chemistry,http://www.asianjournalofchemistry.co.in/Home.aspx,1,exact_name_match_journal
ff3664df9aefd57b,journal,Australasian Medical Journal,http://www.amj.net.au/index.php?journal=AMJ,1,exact_name_match_journal
e135dcb607b79001,journal,Australian Journal of Basic and Applied Sciences,http://www.ajbasweb.com/,0,exact_name_match_journal
01c8928d9b2c5b28,journal,Australian Journal of Business and Management Research,http://www.ajbmr.com/index.php,0,exact_name_match_journal
06d4a4c523148464,journal,Bioinformation,http://bioinformation.net/,1,exact_name_match_journal
3e5ef48a7b4c29ea,journal,Bulletin of Mathematical Sciences & Applications,http://www.bmsa.us/index.php,0,exact_name_match_journal
e9d3fd2e6c1b9ee2,journal,Business and Economics Journal,http://www.irbejournal.com/,0,exact_name_match_journal
dd493637b58d72fd,journal,"The Business Review, Cambridge",http://www.jaabc.com/brc.html,0,exact_name_match_journal
733ef39d3524f629,journal,Cellular and Molecular Biology,http://www.cellmolbiol.com/,0,exact_name_match_journal
9e07883460e26ade,journal,Der Pharma Chemica,http://derpharmachemica.com/,0,exact_name_match_journal
4fb4bdf3f2ae586f,journal,Electronic Journal of Geotechnical Engineering,http://www.ejge.com/,1,exact_name_match_journal
5cb8b18c0ca554ee,journal,European Journal of Educational Research,http://eurojedu.com/,0,exact_name_match_journal
3a605e5e78da2c56,journal,European Journal of Educational Sciences,http://www.ejes.eu/,0,exact_name_match_journal
e914140557b68051,journal,European Journal of Science and Theology,http://www.ejst.tuiasi.ro/,0,exact_name_match_journal
dc5e2e9b26d16ffe,journal,European Journal of Scientific Research,http://www.europeanjournalofscientificresearch.com/,0,exact_name_match_journal
4a3384169def4e45,journal,European Journal of Social Sciences,http://www.europeanjournalofsocialsciences.com/index.html,0,exact_name_match_journal
1d1d0717359d8974,journal,European Journal of Sustainable Development,http://www.ecsdev.org/,0,exact_name_match_journal
