url,name,abbr,type,discipline,publisher,region,reason,source,entry_id,name_norm,abbr_norm,url_domain,url_root,risk_level,norwegian_level,publisher_entry_id,inherited_from_publisher,publisher_name_matched,publisher_url_matched,inherited_risk_level,warning_summary,norwegian_level_checked,norwegian_level_year,norwegian_level_basis,norwegian_level_source
http://1088.email/,1088 Email Press,,publisher,,,,,Stop Predatory Journals list (2025),a1d3dd17e12295f1,1088 email press,,1088.email,1088.email,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://2425publishers.org/,2425 Publishers,,publisher,,,,,Stop Predatory Journals list (2025),cf51ca0f9de2d977,2425 publishers,,2425publishers.org,2425publishers.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.5thpublisher.com/,The 5th Publisher,,publisher,,,,,Stop Predatory Journals list (2025),61d27817adf35783,the 5th publisher,,5thpublisher.com,5thpublisher.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.abcjournals.net/,ABC Journals,,publisher,,,,,Stop Predatory Journals list (2025),c89a88e6ce419bfc,abc journals,,abcjournals.net,abcjournals.net,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://ampublisher.com/index.html,A M Publishers,,publisher,,,,,Stop Predatory Journals list (2025),68c0d09d75a2cd25,a m publishers,,ampublisher.com,ampublisher.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.abhinavjournal.com/,Abhinav,,publisher,,,,,Stop Predatory Journals list (2025),2502a8507a8cc9b7,abhinav,,abhinavjournal.com,abhinavjournal.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academeresearchjournals.org/,Academe Research Journals,,publisher,,,,,Stop Predatory Journals list (2025),0ae732c96522090c,academe research journals,,academeresearchjournals.org,academeresearchjournals.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://academiapublishing.org/index.htm,Academia Publishing,,publisher,,,,,Stop Predatory Journals list (2025),0c8c46852ea0e022,academia publishing,,academiapublishing.org,academiapublishing.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://academiaresearch.org/,Academia Research,,publisher,,,,,Stop Predatory Journals list (2025),91a25266c6fc8a10,academia research,,academiaresearch.org,academiaresearch.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academiascholarlyjournal.org/,Academia Scholarly Journals,ASJ,publisher,,,,,Stop Predatory Journals list (2025),c35798104bde9eb8,academia scholarly journals,asj,academiascholarlyjournal.org,academiascholarlyjournal.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.aabri.com/,Academic and Business Research Institute,,publisher,,,,,Stop Predatory Journals list (2025),8e26fb14153f9717,academic and business research institute,,aabri.com,aabri.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://acascipub.com/,Academic and Scientific Publishing,,publisher,,,,,Stop Predatory Journals list (2025),3ee8b41960599a2e,academic and scientific publishing,,acascipub.com,acascipub.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://ph.academicdirect.org/,Academic Direct Publishing House,,publisher,,,,,Stop Predatory Journals list (2025),fa04493f03b39e0f,academic direct publishing house,,ph.academicdirect.org,academicdirect.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicjournals.org/,Academic Journals,,publisher,,,,,Stop Predatory Journals list (2025),9a7145fc25d8fbb3,academic journals,,academicjournals.org,academicjournals.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.acjar.org/index.html,Academic Journals and Research,ACJAR,publisher,,,,,Stop Predatory Journals list (2025),07fd77a4bb7cc74c,academic journals and research,acjar,acjar.org,acjar.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicjournalsonline.co.in/,Academic Journals Online,AJO,publisher,,,,,Stop Predatory Journals list (2025),1d8ca3c2f9accfe4,academic journals online,ajo,academicjournalsonline.co.in,academicjournalsonline.co.in,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicjournalsinc.com/,"Academic Journals, Inc.",,publisher,,,,,Stop Predatory Journals list (2025),3a2a80b9460c54a2,academic journals inc,,academicjournalsinc.com,academicjournalsinc.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.akrpub.com/,Academic Knowledge and Research Publishing,,publisher,,,,,Stop Predatory Journals list (2025),cfdbf87d8ef1da5d,academic knowledge and research publishing,,akrpub.com,akrpub.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicoasis.org/,Academic Organization for Advancement of Strategic and International Studies,Academic OASIS,publisher,,,,,Stop Predatory Journals list (2025),982939523fc4d401,academic organization for advancement of strategic and international studies,academic oasis,academicoasis.org,academicoasis.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.acadpubl.eu/index.html,"Academic Publications, Ltd.",,publisher,,,,,Stop Predatory Journals list (2025),56973fc01223b959,academic publications ltd,,acadpubl.eu,acadpubl.eu,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.arseam.com/,"Academic Research in Science, Engineering, Art and Management",ARSEAM,publisher,,,,,Stop Predatory Journals list (2025),55bb7595979643ba,academic research in science engineering art and management,arseam,arseam.com,arseam.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicresearchjournals.org/index.htm,Academic Research Journals,,publisher,,,,,Stop Predatory Journals list (2025),7ecd8641bf27d4ce,academic research journals,,academicresearchjournals.org,academicresearchjournals.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://acrpub.com/index.php,Academic Research Publishers,ARPUB,publisher,,,,,Stop Predatory Journals list (2025),ca3743c684485941,academic research publishers,arpub,acrpub.com,acrpub.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.arpapress.com/,Academic Research Publishing Agency,,publisher,,,,,Stop Predatory Journals list (2025),7d0565fbbdce0d16,academic research publishing agency,,arpapress.com,arpapress.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://arpgweb.com/index.php,Academic Research Publishing Group,,publisher,,,,,Stop Predatory Journals list (2025),6385ead0161b6e4d,academic research publishing group,,arpgweb.com,arpgweb.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.acadrp.org/,Academic Research Publishing House,,publisher,,,,,Stop Predatory Journals list (2025),ec7f98ba542b835a,academic research publishing house,,acadrp.org,acadrp.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://academic-publishing-house.com/,Academic Scholars Publishing House,,publisher,,,,,Stop Predatory Journals list (2025),5d31f9fa2d6b739e,academic scholars publishing house,,academic-publishing-house.com,academic-publishing-house.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.ijaponline.org/,Academic Sciences,,publisher,,,,,Stop Predatory Journals list (2025),bfa9d937931f0553,academic sciences,,ijaponline.org,ijaponline.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.academicstar.us/index.asp,Academic Star Publishing Company ,,publisher,,,,,Stop Predatory Journals list (2025),bd13e8e49611bf52,academic star publishing company,,academicstar.us,academicstar.us,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://www.astarstore.us/,Academic Star Publishing Company [alt],,publisher,,,,,Stop Predatory Journals list (2025),9435941c2b18847a,academic star publishing company alt,,astarstore.us,astarstore.us,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
http://academicwebpublishers.org/,Academic Web Publishers,AWP,publisher,,,,,Stop Predatory Journals list (2025),b4b957e1f34df86a,academic web publishers,awp,academicwebpublishers.org,academicwebpublishers.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21)
